MAE,RMSE,MAPE,Fold
2.8997605019989434,3.7152273640249365,1.1917171831713258,1
1.8584242262049395,2.489261603440845,0.7975841151740245,2
1.3081595920129496,1.9541226006716739,0.08692133955765151,3
1.0601865504256907,1.5462986651286978,0.06377474445018504,4
1.7018202750079356,2.5235470729621254,0.5779828475055032,5
1.7656702291300916,2.445691461245656,0.543596045971738,Average
