Rank,Model,RMSE,MAE,R2
1,XGBoost,3.9201110219848587,2.9430206234388097,0.8171233000074101
2,Gradient Boosting,3.942991537105919,2.966354802077488,0.8149822767722346
3,Random Forest,4.324950026731177,3.208057605480357,0.7774006817519716
4,Ridge Regression,7.843358226613833,6.271649764463033,0.2679078600332053
5,Linear Regression,7.843371516654212,6.271670376272947,0.2679053790698057
